Ano,Número (Cinza),Frente,Tópico,Subtópico 1,Subtópico 2,Tipo
2025,93,Óptica,Óptica da visão,Olho Humano,,Conceitual
2025,97,Termofísica,Termologia,Transferência de Calor,,Conceitual
2025,102,Mecânica,Dinâmica,Força de Atrito,,Conceitual
2025,109,Eletromagnetismo,Eletrostática,Campo Elétrico,,Conceitual
2025,110,Ondulatória,Ondas,Fenômenos Ondulatórios,,Conceitual
2025,112,Mecânica,Cinemática,Velocidade Média,,Conta
2025,114,Eletromagnetismo,Magnetismo,Indução e Força Eletromotriz,,Conceitual
2025,116,Eletromagnetismo,Eletrodinâmica,Análise de Circuitos,,Conta
2025,118,Ondulatória,Acústica,Estudo do Som,,Conta
2025,121,Mecânica,Cinemática,Composição de Movimentos,,Conta
2025,124,Mecânica,Dinâmica,Peso e Normal,Densidade e Pressão,Conta
2025,125,Eletromagnetismo,Eletrodinâmica,Geradores e Receptores,,Conta
2025,126,Ondulatória,Ondas,Equação Fundamental da Ondulatória,,Conceitual
2025,132,Eletromagnetismo,Eletrodinâmica,Potência,Análise de Circuitos,Conta
2025,134,Eletromagnetismo,Eletrodinâmica,Primeira Lei de Ohm,,Conceitual
2024,91,Eletromagnetismo,Eletrodinâmica,Análise de Circuitos,,Conta
2024,96,Mecânica,Cinemática,Cinemática Vetorial,Velocidade Média,Conta
2024,98,Mecânica,Dinâmica,Leis de Newton,,Conceitual
2024,100,Termofísica,Termologia,Calorimetria,,Conta
2024,101,Termofísica,Termodinâmica,Ciclos Termodinâmicos,Primeira Lei da Termodinâmica,Conceitual
2024,104,Eletromagnetismo,Eletrostática,Campo Elétrico,,Conceitual
2024,112,Termofísica,Termologia,Transferência de Calor,,Conceitual
2024,115,Ondulatória,Acústica,Estudo do Som,,Conceitual
2024,117,Termofísica,Termologia,Transferência de Calor,,Conceitual
2024,120,Física Moderna,Estrutura Atômica,Radiação,,Conceitual
2024,126,Mecânica,Energia,Conservação da energia mecânica,Impulso e Quantidade de Movimento,Conceitual
2024,130,Ondulatória,Acústica,Efeito Doppler,,Conceitual
2024,131,Óptica,Óptica Geométrica,Espelhos Esféricos,,Conceitual
2024,134,Mecânica,Dinâmica,Centro de Massa,,Conceitual
2023,93,Eletromagnetismo,Magnetismo,Indução e Força Eletromotriz,,Conceitual
2023,94,Mecânica,Dinâmica,Tração e Polias,Leis de Newton,Conta
2023,95,Mecânica,Dinâmica,Leis de Newton,,Conta
2023,98,Física Moderna,Estrutura Atômica,Radiação,,Conta
2023,109,Termofísica,Termodinâmica,Gases e transformações gasosas,,Conceitual
2023,112,Mecânica,Cinemática,Velocidade Média,,Conta
2023,113,Ondulatória,Ondas,Fenômenos Ondulatórios,,Conceitual
2023,118,Mecânica,Cinemática,Velocidade Média,,Conta
2023,122,Mecânica,Cinemática,Lançamento Vertical e Queda Livre,,Conceitual
2023,123,Ondulatória,Ondas,Características de Ondas,,Conceitual
2023,124,Ondulatória,Ondas,Espectro Eletromagnético,,Conceitual
2023,125,Ondulatória,Ondas,Fenômenos Ondulatórios,,Conta
2023,128,Eletromagnetismo,Eletrodinâmica,Análise de Circuitos,,Conta
2023,130,Termofísica,Termologia,Calorimetria,,Conceitual
2022,91,Mecânica,Dinâmica,Conservação da energia mecânica,Resultante Centríptea,Conta
